WBS #,Task Name,Start,End,Days
1,"Project Planning, Analysis and Design",Dec 8 2025,Apr 30 2026,—
1.1,Title proposal and ideation,Dec 8 2025,Dec 21 2025,14
1.2,Proposal preparation and writing,Dec 22 2025,Mar 1 2026,70
1.2.1,Introduction and Review of Related Literature,Dec 22 2025,Feb 1 2026,42
1.2.2,Methodology,Feb 2 2026,Mar 1 2026,28
1.3,Title defense,Mar 10 2026,Mar 10 2026,1
1.4,Proposal revisions and final submission,Mar 11 2026,Mar 24 2026,14
1.5,Requirements definition and rubric sourcing (MES),Mar 25 2026,Apr 30 2026,37
2,"System Development — Agile Scrum, 16 one-week sprints",May 8 2026,Aug 13 2026,98
2.1,Foundation and core Teacher interface,May 8 2026,Jun 4 2026,28
2.1.1,Sprint 1 — Establish the initial TulongGuro system,May 8 2026,May 14 2026,7
2.1.2,Sprint 2 — Develop the core Teacher Interface,May 15 2026,May 21 2026,7
2.1.3,Sprint 3 — Refine AI-assisted grading,May 22 2026,May 28 2026,7
2.1.4,Sprint 4 — Improve the Teacher grading workflow,May 29 2026,Jun 4 2026,7
2.2,AI refinement and Teacher usability,Jun 5 2026,Jun 25 2026,21
2.2.1,Sprint 5 — AI feedback and assessment processing,Jun 5 2026,Jun 11 2026,7
2.2.2,Sprint 6 — Teacher usability and onboarding,Jun 12 2026,Jun 18 2026,7
2.2.3,Sprint 7 — Core Teacher assessment workflow,Jun 19 2026,Jun 25 2026,7
2.3,Batch processing and curriculum integration,Jun 26 2026,Jul 16 2026,21
2.3.1,Sprint 8 — Introduce batch assessment processing,Jun 26 2026,Jul 2 2026,7
2.3.2,Sprint 9 — Curriculum, activities and rubrics,Jul 3 2026,Jul 9 2026,7
2.3.3,Sprint 10 — Strengthen the assessment workflow,Jul 10 2026,Jul 16 2026,7
2.4,Analytics and data architecture,Jul 17 2026,Jul 30 2026,14
2.4.1,Sprint 11 — Analytics and data architecture,Jul 17 2026,Jul 23 2026,7
2.4.2,Sprint 12 — Database migration and security,Jul 24 2026,Jul 30 2026,7
2.5,Deployment and feature completion,Jul 31 2026,Aug 13 2026,14
2.5.1,Sprint 13 — Deployment and multi-school support,Jul 31 2026,Aug 6 2026,7
2.5.2,Sprint 14 — Major features and reliability,Aug 7 2026,Aug 13 2026,7
3,"Testing, Quality Assurance and Verification",Aug 14 2026,Aug 28 2026,15
3.1,Sprint 15 — QA evaluation and QA-driven revisions,Aug 14 2026,Aug 20 2026,7
3.1.1,Functional and Regression Testing (170 test cases),Aug 14 2026,Aug 20 2026,7
3.2,Sprint 16 — Developer unit testing and refinements,Aug 21 2026,Aug 27 2026,7
3.2.1,Unit and Component Testing (32 test cases),Aug 21 2026,Aug 27 2026,7
3.3,Final QA Verification,Aug 28 2026,Aug 28 2026,1
4,Demonstration and Field Evaluation (DSR Stages 4–5),Aug 14 2026,Aug 28 2026,15
4.1,Rubric validation by Head Coordinators,Aug 14 2026,Aug 16 2026,3
4.2,System demonstration to participants,Aug 17 2026,Aug 18 2026,2
4.3,"Beta field evaluation — three schools, one week",Aug 18 2026,Aug 24 2026,7
4.4,Pre- and post-deployment grading time logs,Aug 14 2026,Aug 26 2026,13
4.5,"SUS administration — Teacher, Student, Admin",Aug 25 2026,Aug 28 2026,4
5,Data Analysis and Reporting,Aug 22 2026,Sep 3 2026,13
5.1,Data analysis and computation,Aug 22 2026,Aug 25 2026,4
5.2,Results and Discussion writing,Aug 23 2026,Aug 27 2026,5
5.3,Adviser consultation and revisions,Aug 26 2026,Aug 28 2026,3
5.4,Final thesis submission,Aug 29 2026,Aug 29 2026,1
5.5,Oral defense,Sep 3 2026,Sep 3 2026,1
